State,State1,Metro,County,"Violent
crime","Murder and 
non negligent 
manslaughter",Rape,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny 
theft","Motor 
vehicle 
theft",Arson
ARIZONA,AZ,1,Cochise,47,0,1,3,43,531,195,273,63,5
ARIZONA,AZ,1,Coconino,127,6,17,1,103,264,59,180,25,6
ARIZONA,AZ,1,Mohave,135,3,6,19,107,"1,983",573,"1,197",213,13
ARIZONA,AZ,1,Pinal,197,3,5,18,171,"1,469",321,987,161,
ARIZONA,AZ,1,Yavapai,193,5,0,4,184,860,155,608,97,10
ARIZONA,AZ,1,Yuma,136,7,17,6,106,807,223,502,82,7
ARIZONA,AZ,0,Gila,176,1,3,5,167,384,65,252,67,
ARIZONA,AZ,0,Graham,61,4,0,0,57,104,20,76,8,12
ARIZONA,AZ,0,La Paz,40,1,2,3,34,310,87,181,42,1
ARIZONA,AZ,0,Navajo,43,1,0,5,37,341,192,115,34,5
ARIZONA,AZ,0,Santa Cruz,1,0,0,0,1,117,35,66,16,0
ARKANSAS,AR,1,Benton,159,3,32,3,121,,,188,61,1
ARKANSAS,AR,1,Cleveland,20,0,4,0,16,162,90,56,16,2
ARKANSAS,AR,1,Craighead,48,2,16,1,29,315,108,168,39,3
ARKANSAS,AR,1,Crawford,55,1,1,1,52,254,37,188,29,0
ARKANSAS,AR,1,Crittenden,123,3,9,8,103,286,83,182,21,1
ARKANSAS,AR,1,Faulkner,116,1,18,5,92,749,176,476,97,6
ARKANSAS,AR,1,Garland,279,0,25,8,246,,,675,145,0
ARKANSAS,AR,1,Grant,28,0,3,1,24,167,53,86,28,1
ARKANSAS,AR,1,Jefferson,78,4,12,2,60,414,110,247,57,7
ARKANSAS,AR,1,Lincoln,14,0,7,0,7,40,15,20,5,0
ARKANSAS,AR,1,Little River,10,0,1,1,8,93,27,58,8,1
ARKANSAS,AR,1,Lonoke,75,1,8,0,66,374,68,220,86,4
ARKANSAS,AR,1,Madison,44,1,5,1,37,169,48,99,22,3
ARKANSAS,AR,1,Miller,57,0,8,1,48,199,68,113,18,0
ARKANSAS,AR,1,Perry,29,0,7,0,22,95,23,72,0,0
ARKANSAS,AR,1,Poinsett,42,0,4,0,38,138,60,50,28,0
ARKANSAS,AR,1,Pulaski,428,4,31,27,366,"1,638",353,"1,123",162,9
ARKANSAS,AR,1,Saline,187,7,31,2,147,,,376,81,2
ARKANSAS,AR,1,Sebastian,45,0,6,0,39,223,83,127,13,1
ARKANSAS,AR,1,Washington,177,5,6,1,165,572,139,346,87,8
ARKANSAS,AR,0,Arkansas,15,0,1,1,13,58,14,42,2,1
ARKANSAS,AR,0,Ashley,22,0,1,2,19,153,38,98,17,3
ARKANSAS,AR,0,Baxter,70,1,15,1,53,616,81,472,63,5
ARKANSAS,AR,0,Boone,199,0,30,1,168,269,79,150,40,1
ARKANSAS,AR,0,Bradley,8,0,0,0,8,51,31,12,8,0
ARKANSAS,AR,0,Calhoun,11,0,0,0,11,68,22,34,12,0
ARKANSAS,AR,0,Carroll,45,0,5,1,39,209,52,111,46,1
ARKANSAS,AR,0,Chicot,13,0,2,0,11,76,18,58,0,0
ARKANSAS,AR,0,Clark,11,0,0,0,11,70,19,42,9,0
ARKANSAS,AR,0,Cleburne,142,0,21,4,117,297,86,185,26,6
ARKANSAS,AR,0,Columbia,23,1,2,0,20,67,21,37,9,0
ARKANSAS,AR,0,Conway,46,2,13,1,30,234,43,164,27,9
ARKANSAS,AR,0,Drew,16,0,4,0,12,66,23,37,6,0
ARKANSAS,AR,0,Fulton,29,0,3,0,26,51,0,45,6,0
ARKANSAS,AR,0,Hempstead,29,0,6,1,22,143,41,75,27,1
ARKANSAS,AR,0,Howard,20,0,4,0,16,57,29,25,3,0
ARKANSAS,AR,0,Independence,153,1,44,2,106,367,110,209,48,14
ARKANSAS,AR,0,Izard,33,0,8,0,25,197,55,130,12,5
ARKANSAS,AR,0,Jackson,45,1,6,1,37,119,10,80,29,5
ARKANSAS,AR,0,Johnson,40,0,7,0,33,114,47,51,16,2
ARKANSAS,AR,0,Lee,13,1,4,0,8,101,26,64,11,1
ARKANSAS,AR,0,Logan,36,0,10,0,26,162,35,117,10,6
ARKANSAS,AR,0,Marion,32,0,9,0,23,243,80,150,13,0
ARKANSAS,AR,0,Mississippi,23,0,3,2,18,247,81,133,33,3
ARKANSAS,AR,0,Monroe,1,0,1,0,0,32,3,14,15,1
ARKANSAS,AR,0,Pike,10,0,3,0,7,73,22,49,2,1
ARKANSAS,AR,0,Pope,91,2,15,1,73,309,102,163,44,4
ARKANSAS,AR,0,Prairie,3,0,1,1,1,67,24,39,4,0
ARKANSAS,AR,0,Randolph,40,1,16,0,23,112,24,75,13,2
ARKANSAS,AR,0,Scott,22,0,2,1,19,65,28,29,8,0
ARKANSAS,AR,0,Sevier,26,0,6,0,20,88,21,53,14,2
ARKANSAS,AR,0,St. Francis,40,0,7,6,27,286,80,206,0,2
ARKANSAS,AR,0,Union,60,3,2,3,52,273,76,174,23,2
ARKANSAS,AR,0,Van Buren,44,2,5,0,37,141,24,82,35,11
ARKANSAS,AR,0,White,200,0,61,8,131,598,154,354,90,6
ARKANSAS,AR,0,Woodruff,6,0,0,0,6,62,18,41,3,0
ARKANSAS,AR,0,Yell,30,0,5,0,25,177,66,90,21,1
CALIFORNIA,CA,1,Alameda,633,5,27,210,391,"2,169",354,"1,324",491,21
CALIFORNIA,CA,1,Butte,283,5,32,28,218,"1,290",524,724,42,3
CALIFORNIA,CA,1,Contra Costa,332,8,28,89,207,"1,499",411,"1,053",35,11
CALIFORNIA,CA,1,El Dorado,173,3,47,29,94,"1,695",482,"1,186",27,4
CALIFORNIA,CA,1,Fresno,"1,082",14,38,102,928,"3,281","1,378","1,304",599,129
CALIFORNIA,CA,1,Imperial,211,2,11,7,191,588,178,324,86,22
CALIFORNIA,CA,1,Kern,"2,864",29,244,433,"2,158","9,449","2,756","4,680","2,013",275
CALIFORNIA,CA,1,Kings,125,2,19,19,85,432,114,297,21,1
CALIFORNIA,CA,1,Los Angeles,"5,564",68,300,"1,443","3,753","15,040","2,798","8,595","3,647",220
CALIFORNIA,CA,1,Madera,457,1,34,14,408,"1,017",375,621,21,7
CALIFORNIA,CA,1,Marin,63,1,5,12,45,738,143,591,4,1
CALIFORNIA,CA,1,Merced,500,4,19,24,453,"1,515",487,956,72,8
CALIFORNIA,CA,1,Monterey,258,3,25,36,194,"1,125",361,733,31,7
CALIFORNIA,CA,1,Napa,69,0,11,7,51,269,55,212,2,0
CALIFORNIA,CA,1,Orange,247,2,11,21,213,881,142,642,97,4
CALIFORNIA,CA,1,Placer,183,3,28,13,139,"1,077",278,769,30,9
CALIFORNIA,CA,1,Riverside,932,24,37,179,692,"7,220","1,454","4,320","1,446",24
CALIFORNIA,CA,1,Sacramento,"2,408",36,161,685,"1,526","8,067","2,276","5,634",157,67
CALIFORNIA,CA,1,San Benito,33,0,7,2,24,152,34,105,13,0
CALIFORNIA,CA,1,San Bernardino,"1,503",27,115,189,"1,172","3,945","1,142","1,875",928,53
CALIFORNIA,CA,1,San Diego,"1,499",10,104,224,"1,161","4,300",901,"2,498",901,30
CALIFORNIA,CA,1,San Joaquin,903,5,35,162,701,"2,439",719,"1,589",131,24
CALIFORNIA,CA,1,San Luis Obispo,181,5,26,5,145,963,331,614,18,7
CALIFORNIA,CA,1,San Mateo,324,3,71,62,188,"3,245",297,"2,612",336,5
CALIFORNIA,CA,1,Santa Barbara,232,2,17,26,187,"1,257",305,938,14,8
CALIFORNIA,CA,1,Santa Clara,356,2,40,25,289,"1,518",178,"1,154",186,4
CALIFORNIA,CA,1,Santa Cruz,331,5,58,34,234,"1,630",439,"1,174",17,7
CALIFORNIA,CA,1,Shasta,386,4,41,34,307,824,415,332,77,12
CALIFORNIA,CA,1,Solano,109,1,13,18,77,377,110,192,75,7
CALIFORNIA,CA,1,Sonoma,497,1,45,36,415,"1,089",350,733,6,22
CALIFORNIA,CA,1,Stanislaus,370,8,17,90,255,"1,602",559,"1,000",43,13
CALIFORNIA,CA,1,Sutter,77,1,4,13,59,576,167,350,59,1
CALIFORNIA,CA,1,Tulare5,334,9,30,64,231,"1,893",637,"1,254",2,0
CALIFORNIA,CA,1,Ventura,159,5,18,25,111,543,112,363,68,13
CALIFORNIA,CA,1,Yolo,69,0,8,6,55,294,79,204,11,1
CALIFORNIA,CA,1,Yuba,204,5,21,37,141,847,316,520,11,11
CALIFORNIA,CA,0,Alpine,13,0,2,0,11,29,12,14,3,0
CALIFORNIA,CA,0,Amador,66,1,3,8,54,416,146,268,2,4
CALIFORNIA,CA,0,Calaveras,139,1,32,8,98,668,274,380,14,0
CALIFORNIA,CA,0,Colusa,26,0,8,4,14,169,53,111,5,3
CALIFORNIA,CA,0,Del Norte,84,2,11,18,53,424,192,228,4,12
CALIFORNIA,CA,0,Glenn,55,2,8,8,37,362,86,239,37,3
CALIFORNIA,CA,0,Humboldt,310,1,21,59,229,"1,092",398,661,33,17
CALIFORNIA,CA,0,Inyo,60,1,9,3,47,192,86,105,1,0
CALIFORNIA,CA,0,Lake,193,3,21,19,150,435,204,225,6,5
CALIFORNIA,CA,0,Lassen,78,0,8,0,70,172,100,65,7,1
CALIFORNIA,CA,0,Mariposa,79,0,8,2,69,171,53,115,3,0
CALIFORNIA,CA,0,Mendocino,178,2,29,14,133,414,174,225,15,18
CALIFORNIA,CA,0,Modoc,31,0,2,1,28,29,6,22,1,0
CALIFORNIA,CA,0,Mono,25,0,3,0,22,53,21,32,0,1
CALIFORNIA,CA,0,Nevada,118,0,9,6,103,424,191,226,7,1
CALIFORNIA,CA,0,Plumas,128,1,9,5,113,294,116,167,11,3
